The Shadow: Pulling the Strings,幽影：暗中操纵
The Masque: Cyber General,假面：赛博将领
Wyvern: Chemically Enhanced,翼龙：药剂强化
Boris "Syfr" Kovac: Crafty Veteran,鲍里斯·“暗码”·科瓦奇：诡诈老手
Jamie "Bzzz" Micken: Techno Savant,杰米·“嗡嗡”·麦肯：科技博学者
Strategic Innovations: Future Forward,战略创新：未来向前
Synthetic Systems: The World Re-imagined,合成系统：世界重构
Information Dynamics: All You Need To Know,信息动力：你需知的一切
"Fringe Applications: Tomorrow, Today",边缘应用：明日今天
Noise: Hacker Extraordinaire,噪音：超凡黑客
Déjà Vu,既视感
Demolition Run,拆解式潜袭
Stimhack,狂热式入侵
Cyberfeeder,赛博补给器
Grimoire,黑魔典籍
Corroder,腐蚀者
Datasucker,数据吸食虫
Djinn,巨灵
Medium,培养基
Mimic,变脸者
Parasite,寄生虫
Wyrm,飞龙
Yog.0,犹格.0
Ice Carver,凿墙者
Wyldside,狂界酒吧
Gabriel Santiago: Consummate Professional,加布里埃尔·圣地亚哥：精湛专家
Account Siphon,账户虹吸
Easy Mark,待宰羔羊
Forged Activation Orders,伪造激活指令
Inside Job,内线操作
Special Order,特别订单
Lemuria Codecracker,雷姆利亚破译机
Desperado,亡命徒
Aurora,极光
Femme Fatale,蛇蝎美人
Ninja,忍者
Sneakdoor Beta,测试暗门
Bank Job,银行任职
Crash Space,应急房间
Data Dealer,数据商贩
Decoy,虚假目标
Kate "Mac" McCaffrey: Digital Tinker,凯特·“麦克”·麦卡弗瑞：数字校正师
Diesel,迪燃
Modded,改装
The Maker's Eye,造物者之眼
Tinkering,校正
Akamatsu Mem Chip,赤松内存芯片
Rabbit Hole,兔穴
The Personal Touch,个性化定制
The Toolbox,工具箱
Battering Ram,破门槌
Gordian Blade,戈尔迪之刃
Magnum Opus,巨作
Net Shield,网盾
Pipeline,管线
Aesop's Pawnshop,伊索的典当铺
Sacrificial Construct,自毁结构体
Infiltration,潜入
Sure Gamble,胜券在握
Crypsis,万色草
Access to Globalsec,接入全球保卫组
Armitage Codebusting,阿米蒂奇代码破解
Haas-Bioroid: Engineering the Future,哈斯生化：创建未来
Accelerated Beta Test,加速版本测试
Adonis Campaign,阿多尼斯营销计划
Aggressive Secretary,激进的助理
Archived Memories,归档的记忆
Biotic Labor,生化人劳工
Shipment from MirrorMorph,幻镜所的货物
Heimdall 1.0,海姆达尔1.0
Ichi 1.0,女座头市1.0
Viktor 1.0,维克托1.0
Rototurret,旋转炮塔
Corporate Troubleshooter,团队清道夫
Experiential Data,实验性数据
Jinteki: Personal Evolution,人间会社：自我进化
Nisei MK II,次代II型
Project Junebug,金甲虫计划
Snare!,圈套！
Zaibatsu Loyalty,财阀们的忠诚
Neural EMP,神经电磁脉冲
Precognition,预知
Cell Portal,信元传送门
Chum,诱饵
Data Mine,数据暗雷
Neural Katana,神经枢武士刀
Wall of Thorns,荆棘墙
Akitaro Watanabe,渡边秋太郎
NBN: Making News,网际传媒：制造新闻
AstroScript Pilot Program,神符实验项目
Breaking News,突发新闻
Anonymous Tip,匿名信息
Closed Accounts,查封账户
Psychographics,心理统计分析
SEA Source,空梯管理局信号源
Ghost Branch,幽灵分部
Data Raven,数据乌鸦
Matrix Analyzer,矩阵分析者
Tollbooth,收费站
Red Herrings,红鲱鱼
SanSan City Grid,圣加州城际网阵
Weyland Consortium: Building a Better World,威兰财团：创造美好世界
Hostile Takeover,恶意收购
Posted Bounty,悬赏通告
Security Subcontract,防卫转包合同
Aggressive Negotiation,强制谈判
Beanstalk Royalties,豆茎授权金
Scorched Earth,焦土政策
Shipment from Kaguya,辉夜港的货物
Archer,射手
Hadrian's Wall,哈德良之墙
Ice Wall,冰墙
Shadow,影子
Research Station,研究工作站
Priority Requisition,优先征用
Private Security Force,私人防卫军
Melange Mining Corp.,混合矿业公司
PAD Campaign,掌上营销计划
Hedge Fund,对冲基金
Enigma,谜团
Hunter,狩猎者
Wall of Static,静电墙
Whizzard: Master Gamer,魔术师：游戏大师
Spinal Modem,脊髓调制器
Imp,小恶魔
Morning Star,晨星锤
Cortez Chip,科特斯芯片
Peacock,孔雀
ZU.13 Key Master,ZU.13守钥者
The Helpful AI,辅助型人工智能
Plascrete Carapace,凝塑铠甲
Haas-Bioroid: Stronger Together,哈斯生化：强大的凝聚力
Mandatory Upgrades,强制升级
Janus 1.0,双面神1.0
Ash 2X3ZB9CY,尘埃2X3ZB9CY
Braintrust,智脑团
Snowflake,雪花
Restructured Datapool,重组数据池
TMI,垃圾信息堆
Project Atlas,阿特拉斯计划
Caduceus,蛇杖
Dracō,天龙座
Vamp,吸血
Liberated Account,盗用账户
Satellite Uplink,卫星上行传输
e3 Feedback Implants,e3反馈式植入体
Compromised Employee,妥协的职员
Notoriety,威名显赫
Snowball,雪球
Dyson Mem Chip,戴森内存芯片
Encryption Protocol,加密协议
Sherlock 1.0,夏洛克1.0
Jinteki: Replicating Perfection,人间会社：复制完美
Fetal AI,胎型人工智能
Trick of Light,光影诡计
Sensei,师范
Big Brother,老大哥
ChiLo City Grid,芝路易斯城际网阵
Power Grid Overload,电网过载
Amazon Industrial Zone,亚马逊工业区
Executive Retreat,高级行政会所
Freelancer,自由职业者
Nerve Agent,神经毒剂
Joshua B.,约书亚B.
Emergency Shutdown,紧急关机
Muresh Bodysuit,穆列什紧身衣
Snitch,告密者
Chaos Theory: Wünderkind,混沌希尔瑞：神童
Test Run,测试运行
Dinosaurus,小神龙
Personal Workshop,私人工作间
Public Sympathy,公众慰问
Project Vitruvius,维特鲁威计划
Viper,蝮蛇
Edge of World,世界边缘
Sunset,日落
Marked Accounts,标记账户
Pop-up Window,弹出窗口
Woodcutter,伐木者
Commercialization,商业化
Private Contracts,私人合约
Chimera,奇美拉
Disrupter,扰乱器
Force of Nature,自然之力
Scrubber,清洗者
Doppelgänger,双重幻影
Crescentus,生物胶水
Deus X,神谕
All-nighter,夜猫子
Inside Man,内线
Underworld Contact,秘密接触
Green Level Clearance,绿色许可
Hourglass,沙漏
Dedicated Server,专属服务器
Bullfrog,牛蛙
Uroboros,咬尾蛇
Net Police,网络警察
Weyland Consortium: Because We Built It,威兰财团：因为有我们建造
Government Contracts,政府合约
Tyrant,暴君
Oversight AI,监督型人工智能
False Lead,误导
Surge,增幅
Xanadu,上都
Andromeda: Dispossessed Ristie,安德洛墨达：无产贵族
Networking,社交
HQ Interface,总部接口
Pheromones,信息素
Quality Time,美好时光
Replicator,复制器
Creeper,爬虫
Kraken,海怪
Kati Jones,凯蒂·琼斯
Eve Campaign,伊芙营销计划
Rework,返工
Whirlpool,漩涡
Hokusai Grid,北斋网阵
Data Hound,数据猎犬
Bernice Mai,柏妮丝·麦
Salvage,打捞者
Simone Diego,西蒙·迭戈
Foxfire,狐火
Retrieval Run,检索式潜袭
Darwin,达尔文
Data Leak Reversal,数据逆流器
Faerie,仙灵
Mr. Li,李先生
Indexing,索引化
R&D Interface,研发中心接口
Deep Thought,沉思者
New Angeles City Hall,新洛杉矶市政厅
Eli 1.0,伊莱1.0
Ruhr Valley,鲁尔谷
Ronin,浪人
Midori,绿子
NBN: The World is Yours*,网际传媒：世界是你们的*
Project Beale,比勒计划
Midseason Replacements,季中换剧
Flare,耀斑
Dedicated Response Team,专属反应组
Burke Bugs,伯克虫
Corporate War,公司大战
Cerebral Imaging: Infinite Frontiers,脑映像：无限前沿
Custom Biotics: Engineered for Success,生命定制所：专为成功设定
NEXT Design: Guarding the Net,次级方案：守卫网络
Director Haas' Pet Project,总裁哈斯的宠儿计划
Efficiency Committee,效率委员会
Project Wotan,奥丁计划
Sentinel Defense Program,哨兵防御工程
Alix T4LB07,阿历克斯T4LB07
Cerebral Overwriter,脑部复写器
Director Haas,总裁哈斯
Haas Arcology AI,哈斯生态屋型人工智能
Thomas Haas,托马斯·哈斯
Bioroid Efficiency Research,生化人效率研究
Successful Demonstration,成功演示
Heimdall 2.0,海姆达尔2.0
Howler,嚎叫者
Ichi 2.0,女座头市2.0
Minelayer,布雷者
Viktor 2.0,维克托2.0
Zed 1.0,劫1.0
Awakening Center,觉醒的中枢
Tyr's Hand,提尔之手
