chpt_game_concepts,1. Game Concepts,,
sec_concepts_general,1.1. General,,
sec_concepts_general-snippet,These rules are compatible with cards from the game {term:android: netrunner} by Fantasy Flight Games. {term:android: netrunner} is a game about the cyber-struggle between massive Corporations and subversive hackers known as Runners.,,
rule_player_definitions,1.1.1. The game is played between two players. One player takes the role of the Corp (Corporation) and the other takes the role of the Runner. This rules document will frequently refer to a player interchangeably with their game role.,,
rule_requirements,"1.1.2. Each player needs a legal deck, an identity card for their role, and any extra cards used from outside their deck. They also need a supply of tokens as described in {ref:sec_counters_and_tokens}. The constraints that define the legality of a deck are defined in {ref:sec_deck_construction}, and the cases where cards outside the deck and identity can be used are defined in {ref:sec_extra_cards}.",,
rule_game_numbers,"1.1.3. All numbers used in the game are integers. Unless otherwise stated, a given value can be positive, negative, or zero.",,
sec_golden_rules,1.2. Golden Rules,,
rule_card_precedence,"1.2.1. If the text of a card directly contradicts these rules, the text of the card takes precedence.",,
rule_cannot_precedence,"1.2.2. If a rule or ability directs something to happen, but another effect states that it cannot happen, the ""cannot"" ability takes precedence.",,
rule_if_able,"1.2.3. If an instruction includes the words ""if able,"" it can only be carried out fully or not at all. If any part of the instruction is not possible to carry out, the entire instruction is ignored.",,
rule_do_as_much_as_you_can,"1.2.4. If an instruction does not include the words ""if able,"" as much of that instruction as possible is carried out. Any parts of the instruction that are not possible to carry out are ignored.",,
sec_symbols,1.3. Symbols,,
rule_symbols,1.3.1. Several non-English symbols appear on cards and in this rules document. This section serves as a basic guide to those symbols.,,
rule_symbol_credits,"1.3.2. The symbol [c] (plaintext: {curly:c}) stands for ""credit"". It always appears with a quantity, such as 1[c], which means ""one credit,"" or 3[c], which means ""three credits."" See {ref:sec_credits} for rules about credits.",,
rule_symbol_clicks,"1.3.3. The symbol [click] (plaintext: {curly:click}) stands for ""click"". Multiple clicks can be represented either by multiple symbols, such as [click][click], or by a numeral and symbol, such as 2[click], both meaning ""two clicks."" See {ref:sec_clicks} for rules about clicks.",,
rule_symbol_recurring,"1.3.4. The symbol [recurring] (plaintext: {curly:recurring}) stands for recurring credit. It always appears with a quantity, such as 1[recurring], which means ""one recurring credit,"" or 3[recurring], which means ""three recurring credits."" See {ref:rule_sec_recurring} for rules about recurring credits.",,
rule_symbol_link,"1.3.5. The symbol [link] (plaintext: {curly:link}) stands for ""link"". It is always used with a quantity, such as 1[link], which means ""1 link."" See {ref:sec_link} for rules about link.",,
rule_symbol_mu,"1.3.6. The symbol [MU] (plaintext: {curly:MU}) stands for ""memory"" and also represents the unit used to measure memory. When used with a quantity, it should be read as ""memory units"". For example, 2[MU] means ""2 memory units."" See {ref:sec_memory} for rules about memory.",,
rule_symbol_sub,"1.3.7. The symbol [sub] (plaintext: {curly:sub}) stands for ""subroutine"". Each symbol marks a single subroutine on a piece of ice. See {ref:sec_subroutines} for information about subroutines.",,
